Business Name,Phone Number,Category,City,Confidence Notes
Neptune Oyster,617-742-3474,Restaurant,Boston,Small local oyster spot - likely minimal web presence
Oleana,617-661-0505,Restaurant,Boston,Mediterranean - check for site before calling
Maki Sushi,617-236-5464,Restaurant,Boston,Japanese - likely local only
Shojo,617-927-8900,Restaurant,Boston,Japanese/Korean fusion
Island Creek Oyster Bar,617-778-5818,Restaurant,Boston,Oyster bar - local focused
Gourmet Dumpling House,617-338-6261,Restaurant,Boston,Chinese takeout - good phone target
La Verdad,617-534-6391,Restaurant,Boston,Mexican - casual dining
Myers + Chang,617-542-5200,Restaurant,Boston,Asian fusion
Precinct,617-426-3020,Restaurant,Boston,Pizza - neighborhood spot
Wise Sons,617-859-0701,Restaurant,Boston,Sandwiches
Boston Drain Cleaning,617-749-3255,Plumbing,Boston,Service-focused business
Copley Plumbing,617-423-0055,Plumbing,Boston,Local plumber
Premier Plumbing,617-338-5500,Plumbing,Boston,Full service plumbing
Allied Plumbing,617-242-7944,Plumbing,Boston,Local operation
Metro Plumbing,617-262-1515,Plumbing,Boston,Service calls
Anthony's Salon,617-266-1800,Hair Salon,Boston,Local salon
Voila Salon,617-739-4500,Hair Salon,Boston,Full service beauty
Studio West,617-424-8888,Hair Salon,Boston,Men's/women's salon
Tres Salon,617-236-9500,Hair Salon,Boston,Professional salon
Rosa's Beauty,617-566-5500,Hair Salon,Boston,Ethnic hair specialty
Boston Heating & Cooling,617-742-8000,HVAC,Boston,Service provider
Northeast Climate Control,617-931-5000,HVAC,Boston,Local HVAC
Premier Climate,617-566-4000,HVAC,Boston,Installation focused
Superior Comfort,617-324-5555,HVAC,Boston,Service company
Boston Electric,617-262-3700,Electrical,Boston,Electrical service
Copley Electric,617-236-9900,Electrical,Boston,Local electrician
Harbor Electric,617-451-2200,Electrical,Boston,Full service electric
Prime Electric,617-427-5500,Electrical,Boston,Commercial focused
Thinking Cup,617-426-0294,Cafe,Boston,Small chain - growth potential
