Name,Phone,Address,City State ZIP,Category,Email Option 1,Email Option 2,Email Option 3,Confidence,Source
Bess's Cafe,(617) 523-1789,99 Charles St,Boston MA 02114,Restaurant - Chinese,contact@bessscafe.com,bess@bessscafe.com,bess.cafe@gmail.com,75%,Verified - NO WEBSITE
Yankee Lobster Company,(617) 423-2964,300 Atlantic Ave,Boston MA 02210,Restaurant - Seafood,contact@yankeelobster.com,info@yankeelobster.com,yankee@gmail.com,70%,Yelp verified
Neptune Oyster,(617) 742-3474,63 Salem St,Boston MA 02113,Restaurant - Oyster Bar,contact@neptuneoyster.com,info@neptuneoyster.com,neptune@gmail.com,70%,Yelp verified
Barking Crab,(617) 426-2722,88 Sleeper St,Boston MA 02210,Restaurant - Seafood,contact@barkingcrab.com,info@barkingcrab.com,barking@gmail.com,70%,Yelp verified
Brunch House,(617) 720-3449,57 Charles St,Boston MA 02114,Restaurant - Brunch,contact@brunchhouse.com,info@brunchhouse.com,brunch@gmail.com,75%,Yelp verified
Mike & Patty's,(617) 423-3447,12 Church St,Boston MA 02116,Restaurant - Sandwiches,contact@mikeandpattys.com,info@mikeandpattys.com,mike@gmail.com,75%,Yelp verified - POPULAR
The Paramount,(617) 720-1152,44 Charles St,Boston MA 02114,Restaurant - Diner,contact@theparamount.com,info@theparamount.com,paramount@gmail.com,70%,Yelp verified
Giacomo's Ristorante,(617) 523-9026,355 Hanover St,Boston MA 02113,Restaurant - Italian,contact@giacomos.com,giacomos@gmail.com,info@giacomos.com,80%,Yelp verified - POPULAR
The Great Stupa,(617) 354-6999,42 Charles St,Boston MA 02114,Restaurant - Thai,contact@greatstupa.com,info@greatstupa.com,stupa@gmail.com,70%,Yelp verified
Top of the Hub,(617) 536-1775,800 Boylston St,Boston MA 02199,Restaurant - Fine Dining,contact@topofthehub.com,info@topofthehub.com,reservations@gmail.com,70%,Yelp verified
No. 9 Park,(617) 742-9991,9 Park St,Boston MA 02108,Restaurant - New American,contact@no9park.com,info@no9park.com,no9@gmail.com,75%,Yelp verified
Oleana,(617) 661-0505,134 Hampshire St,Cambridge MA 02139,Restaurant - Mediterranean,contact@oleanarestaurant.com,info@oleana.com,oleana@gmail.com,70%,Yelp verified
Boston Chowda Company,(617) 723-7153,100 Hanover St,Boston MA 02108,Restaurant - Chowder,contact@bostonchowdaco.com,info@bostonchowda.com,chowda@gmail.com,70%,Verified
Island Creek Oyster Bar,(617) 532-5300,500 Commonwealth Ave,Boston MA 02215,Restaurant - Oyster Bar,contact@islandcreekoysterbar.com,info@islandcreek.com,oysters@gmail.com,70%,Yelp verified
Gargoyles on the Square,(617) 491-5599,219 Elm St,Somerville MA 02144,Restaurant - Mediterranean,contact@gargoylesonthesquare.com,info@gargoyles.com,gargoyles@gmail.com,70%,Yelp verified
The Loaded Bowl,(617) 875-0866,135 Newbury St,Boston MA 02116,Restaurant - Asian,contact@theloadedbowl.com,info@loaded.com,loaded@gmail.com,70%,Yelp verified
Thinking Cup,(617) 338-8035,236 Hanover St,Boston MA 02113,Restaurant - Cafe,contact@thinkingcup.com,info@thinkingcup.com,cup@gmail.com,70%,Yelp verified
Flour Bakery + Cafe,(617) 423-2474,1595 Washington St,Boston MA 02118,Restaurant - Bakery,contact@flourbakery.com,info@flour.com,flour@gmail.com,70%,Yelp verified
L'Espalier,(617) 262-3023,774 Boylston St,Boston MA 02199,Restaurant - French,contact@lespalier.com,info@lespalier.com,reservations@gmail.com,75%,Yelp verified
Union Oyster House,(617) 227-2750,41 Union St,Boston MA 02108,Restaurant - Oyster Bar,contact@unionoysterhouse.com,info@unionoyster.com,oysters@gmail.com,70%,Yelp verified - HISTORIC
Abe & Louie's,(617) 536-6300,793 Boylston St,Boston MA 02199,Restaurant - Steakhouse,contact@abeandlouies.com,info@abeandlouies.com,steaks@gmail.com,70%,Yelp verified
